#4 voltage traces with current injection at #9nA intervals starting at #9
first column is time in ms

200 5
 92       -61.3    -70.7    -78.3    -88.2   
 92.5     -61.4    -70.8    -78.5    -88.3   
 93       -61.3    -70.9    -78.6    -88.4   
 93.5     -61.3    -70.9    -78.7    -88.4   
 94       -61.3    -70.9    -78.7    -88.6   
 94.5     -61.3    -71      -78.8    -88.6   
 95       -61.2    -71.1    -78.8    -88.7   
 95.5     -61.1    -71      -78.9    -88.8   
 96       -61.1    -71      -79      -88.8   
 96.5     -61.2    -71      -79      -88.7   
 97       -61.3    -71      -79      -88.8   
 97.5     -61.3    -71.1    -79.2    -88.8   
 98       -61.3    -71.1    -79.1    -88.8   
 98.5     -61.5    -71      -79.2    -88.8   
 99       -61.4    -71.1    -79.2    -88.9   
 99.5     -61.4    -71.2    -79.2    -88.9   
