#5 voltage traces with current injection at #9nA intervals starting at #9
first column is time in ms

200 11
 53.5     -47      -58.2    -59.3    -65.5    -73.6    -77      -85.9    -87.4    -97.2    -105    
 54       -47.2    -58.2    -59.2    -65.5    -73.7    -77.1    -86      -87.6    -97.3    -105    
 54.5     -47.2    -58.2    -59.2    -65.6    -73.8    -77.2    -86.1    -87.7    -97.5    -105    
 55       -47.2    -58.1    -59.3    -65.5    -73.8    -77.3    -86.2    -87.8    -97.7    -105    
 55.5     -44      -54.9    -56.2    -62.5    -70.9    -74.5    -83.2    -85      -95      -103    
 56       -47      -58      -59.2    -65.5    -73.8    -77.5    -86.4    -88      -98.1    -106    
 56.5     -47.2    -58.3    -59.3    -65.6    -74.1    -77.8    -86.5    -88.3    -98.3    -106    
 57       -47.2    -58.3    -59.4    -65.7    -74.2    -78      -86.7    -88.5    -98.5    -106    
 57.5     -46.8    -58.1    -59.3    -65.5    -74.2    -77.7    -86.6    -88.4    -98.3    -106    
 58       -44.1    -56.1    -57.4    -63.6    -72.6    -76.2    -84.4    -86.7    -96.2    -104    
 58.5     -38.7    -51.5    -53.1    -60.7    -69.1    -72.4    -79      -82.2    -91.7    -99     
 59       -24      -46.7    -48.5    -57.2    -65.5    -67.8    -73.5    -77.6    -87      -94     
 59.5     30.7     -43.1    -45.1    -54.7    -62.8    -64.7    -70      -74.6    -83.8    -90.7   
 60       -20.6    -40.2    -43      -53.3    -61.3    -63      -67.8    -73      -82      -88.7   
 60.5     -44.9    -37.5    -42.3    -52.9    -60.7    -62.1    -66.6    -72.1    -81.2    -87.4   
 61       -50.6    -10.7    -43.3    -53.3    -60.4    -61.6    -66.2    -71.8    -80.6    -86.6   
 61.5     -50.8    25.5     -45.5    -54.6    -60.9    -61.5    -66.4    -71.9    -80.4    -86.3   
 62       -50.1    -18.4    -47.5    -56.4    -61.9    -63      -67.3    -72.6    -80.6    -86.2   
 62.5     -49.9    -46.5    -49      -58.1    -63      -64.6    -68.5    -73.5    -80.7    -86.2   
 63       -49.6    -53.5    -49.9    -59.3    -63.7    -65.7    -69.4    -74.4    -81.1    -86.3   
 63.5     -49.5    -54.2    -50.7    -60.1    -64.2    -66.3    -70.1    -74.7    -81.4    -86.4   
 64       -49.5    -54      -51.3    -60.7    -64.6    -66.8    -70.5    -74.9    -81.5    -86.5   
 64.5     -49.4    -53.8    -51.8    -61.1    -65      -67.2    -70.7    -75      -81.7    -86.6   
 65       -49.4    -53.9    -52.2    -61.5    -65.1    -67.4    -70.9    -75      -81.8    -86.7   
 65.5     -49.3    -54.1    -52.6    -61.7    -65.2    -67.7    -71.1    -75.1    -82      -86.8   
 66       -49.4    -54.7    -52.9    -61.9    -65.6    -68      -71.5    -75.4    -82.3    -87     
 66.5     -49.6    -55.3    -53.3    -62      -65.8    -68.3    -71.8    -75.8    -82.4    -87.3   
 67       -49.9    -55.7    -53.6    -62.2    -66.1    -68.5    -72.1    -76      -82.6    -87.6   
 67.5     -50      -56.1    -54.1    -62.3    -66.3    -68.8    -72.5    -76.3    -82.9    -87.8   
